岱勒新材,SZ300700,59.1
*ST沪科,SH600608,7.72
ST景谷,SH600265,16.3
新钢股份,SH600782,7.54
ST成城,SH600247,6.71
*ST云网,SZ002306,4.02
霞客环保,SZ002015,5.77
海越股份,SH600387,7.73
科森科技,SH603626,21.22
兖州煤业,SH600188,16.25
中源协和,SH600645,20.1
阳泉煤业,SH600348,8.4
集友股份,SH603429,30.78
奇信股份,SZ002781,19.05
南洋科技,SZ002389,15.41
深证1000,SZ399011,4973.06
深证B指,SZ399108,1153.54
综企指数,SZ399249,654.56
大名城,SH600094,7.04
东安动力,SH600178,5.26
精工钢构,SH600496,3.53
泰豪科技,SH600590,8.82
文峰股份,SH601010,3.52
三江购物,SH601116,15.88
广州港,SH601228,5.33
快克股份,SH603203,35.56
铁流股份,SH603926,22.95
山东地矿,SZ000409,5.29
亚太股份,SZ002284,7.08
上证380,SH000009,5148.07
180金融,SH000018,5451.9
180R价值,SH000031,3131.9
全R价值,SH000060,3689.77
上证龙头,SH000065,3403.63
上证下游,SH000096,4074.25
380工业,SH000106,5099.89
细分金融,SH000818,6422.94
国企200,SH000956,1171.32
地产等权,SZ399983,7820.93
会稽山,SH601579,10.83
京华激光,SH603607,30.74
临港B股,SH900928,1.619
陆家B股,SH900932,1.436
中捷资源,SZ002021,3.56
海大集团,SZ002311,21.62
集智股份,SZ300553,32.59
开立医疗,SZ300633,21.52
达安股份,SZ300635,14.3
中证流通,SH000902,4857.86
内地金融,SH000946,6752.88
创业成长,SH000958,1308.46
中证龙头,SH000960,4353.62
中证超大,SH000980,3403.08
中证全指,SH000985,4600.61
运输指数,SZ399237,1239.92
国证A指,SZ399317,4486.5
1000金融,SZ399387,5053.6
创业成长,SZ399958,1308.46
青山纸业,SH600103,3.67
航天通信,SH600677,9.15
中煤能源,SH601898,5.44
伊泰B股,SH900948,1.451
东北制药,SZ000597,9.22
合金投资,SZ000633,7.35
茂业通信,SZ000889,12.8
中科三环,SZ000970,10.9
黔源电力,SZ002039,14.74
世联行,SZ002285,9.11
巨力索具,SZ002342,5.45
鸿路钢构,SZ002541,12.72
诚益通,SZ300430,16.51
海顺新材,SZ300501,29.1
上证F200,SH000098,4737.07
新指数,SZ399100,7917.61
中盘高贝,SZ399407,2409.46
万东医疗,SH600055,12.92
生物股份,SH600201,27.82
金瑞矿业,SH600714,7.42
皖天然气,SH603689,11.13
四环生物,SZ000518,5.59
泰禾集团,SZ000732,27.95
莱宝高科,SZ002106,7.47
西部建设,SZ002302,14.78
华斯股份,SZ002494,7.43
华源控股,SZ002787,9.31
科力尔,SZ002892,37.2
振芯科技,SZ300101,13.08
科大智能,SZ300222,18.63
富春股份,SZ300299,7.41
万马科技,SZ300698,20.31
超大盘,SH000043,2458.12
上证F500,SH000100,5210.48
800金融,SH000974,6340.57
中小责任,SZ399651,1863.69
万业企业,SH600641,11.48
岳阳林纸,SH600963,5.67
马应龙,SH600993,17.11
中国汽研,SH601965,7.59
小天鹅A,SZ000418,69.57
浙江交科,SZ002061,15.09
海格通信,SZ002465,9.51
龙泉股份,SZ002671,5.7
九洲电气,SZ300040,7.65
智飞生物,SZ300122,26.48
锐奇股份,SZ300126,5.67
国泰君安,SH601211,17.58
佛塑科技,SZ000973,4.8
豫能控股,SZ001896,4.79
